NAMESPACE                       NAME                                                  IMAGE REPOSITORY                                                                                                                        TAGS                                                           UPDATED
account-ppd                     account-buku-cekbg-be                                 default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-ppd/account-buku-cekbg-be                                           latest,0.0.6,0.0.5,0.0.4,0.0.3,0.0.2 + 1 more...               6 months ago
account-ppd                     account-inquiry-be                                    default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-ppd/account-inquiry-be                                              latest,0.0.7,0.0.6,0.0.5,0.0.4,0.0.3 + 3 more...               28 hours ago
account-ppd                     account-maint-konven-be                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-ppd/account-maint-konven-be                                         latest,0.0.20,0.0.19,0.0.18,0.0.16 + 15 more...                2 months ago
account-ppd                     account-maint-syariah-be                              default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-ppd/account-maint-syariah-be                                        latest,0.0.14,0.0.13,0.0.11,0.0.10 + 8 more...                 3 months ago
account-ppd                     account-maintenance-konven-be                         default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-ppd/account-maintenance-konven-be                                   latest,0.0.6,0.0.5,0.0.4,0.0.3,0.0.2 + 1 more...               3 weeks ago
account-ppd                     account-maintenance-konven-omni                       default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-ppd/account-maintenance-konven-omni                                 0.0.8,latest,0.0.7,0.0.6,0.0.5,0.0.4 + 2 more...               3 weeks ago
account-ppd                     account-maintenance-syariah-be                        default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-ppd/account-maintenance-syariah-be                                  latest,0.0.1                                                   3 months ago
account-ppd                     account-maintenance-syariah-omni                      default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-ppd/account-maintenance-syariah-omni                                latest,0.0.1                                                   3 months ago
account-ppd                     account-onboarding-omni                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-ppd/account-onboarding-omni                                         latest,0.0.21,0.0.20,0.0.18,0.0.17 + 14 more...                27 hours ago
account-ppd                     account-otorisasi-be                                  default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-ppd/account-otorisasi-be                                            0.0.10,latest,0.0.9,0.0.8,0.0.7,0.0.6 + 4 more...              3 weeks ago
account-ppd                     account-otorisasi-omni                                default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-ppd/account-otorisasi-omni                                          0.0.1,latest                                                   3 months ago
account-ppd                     account-parameter-be                                  default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-ppd/account-parameter-be                                            0.0.7,latest,0.0.6,0.0.5,0.0.4,0.0.3 + 1 more...               3 weeks ago
account-ppd                     account-rdn-be                                        default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-ppd/account-rdn-be                                                  0.0.4,latest,0.0.3                                             9 months ago
account-ppd                     account-rdn-omni                                      default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-ppd/account-rdn-omni                                                latest,0.0.1                                                   11 months ago
account-ppd                     accountsyr-onboarding-omni                            default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-ppd/accountsyr-onboarding-omni                                      latest,0.0.18,0.0.14,0.0.13,0.0.12 + 7 more...                 26 hours ago
account-ppd                     dotnet-21-runtime-rhel7                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-ppd/dotnet-21-runtime-rhel7                                         latest                                                         3 months ago
account-sit                     account-buku-cekbg-be                                 default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-buku-cekbg-be                                           latest,7eb1ff8f,3f93391e,57f746d5 + 11 more...                 3 months ago
account-sit                     account-closing-konven-be                             default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-closing-konven-be                                       latest,3c21b4b4,4aedfe78,6017e6be + 110 more...                10 hours ago
account-sit                     account-closing-konven-omni                           default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-closing-konven-omni                                     latest,907b89c4,6cca2f82,646fb434 + 52 more...                 10 hours ago
account-sit                     account-closing-syariah-be                            default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-closing-syariah-be                                      ad932c5e,latest,48dc9606,9e190176 + 22 more...                 2 weeks ago
account-sit                     account-closing-syariah-omni                          default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-closing-syariah-omni                                    53fb14cf,latest,6fa373c2,cc095465 + 10 more...                 4 weeks ago
account-sit                     account-inquiry-be                                    default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-inquiry-be                                              latest,668f33ea,f5c2f9ab,93e98912 + 31 more...                 35 hours ago
account-sit                     account-maint-konven-be                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-maint-konven-be                                         0087e41d,latest,22ff2dc1,7d826fed + 115 more...                3 weeks ago
account-sit                     account-maint-syariah-be                              default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-maint-syariah-be                                        latest,b7f13d8f,c9b934eb,530d8e71 + 60 more...                 3 months ago
account-sit                     account-maintenance-konven-be                         default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-maintenance-konven-be                                   fa5265f5,latest,ba134a06,1725659f + 78 more...                 5 weeks ago
account-sit                     account-maintenance-konven-omni                       default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-maintenance-konven-omni                                 latest,3540d1b2,2f67f167,c11a154b + 100 more...                3 weeks ago
account-sit                     account-maintenance-syariah-be                        default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-maintenance-syariah-be                                  latest,ee4b6d8f,b006ee8f,10e6b991 + 45 more...                 3 months ago
account-sit                     account-maintenance-syariah-omni                      default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-maintenance-syariah-omni                                latest,0d10d61e,e94fb42d,6b495b74 + 32 more...                 5 months ago
account-sit                     account-onboarding-omni                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-onboarding-omni                                         139f7c91,latest,c93c4939,61b10f33 + 112 more...                34 hours ago
account-sit                     account-otorisasi-be                                  default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-otorisasi-be                                            latest,ab3b04b5,5d51d07b,04da8ca1 + 13 more...                 3 weeks ago
account-sit                     account-otorisasi-omni                                default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-otorisasi-omni                                          a89c8ae3,latest,30c6224c,1b3302c8 + 7 more...                  3 weeks ago
account-sit                     account-parameter-be                                  default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-parameter-be                                            a6bdf3fb,latest,956af420,748bc0f1 + 58 more...                 3 weeks ago
account-sit                     account-preevent                                      default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-preevent                                                latest,0919be89,1f377800,d7c6ae97 + 4 more...                  5 days ago
account-sit                     account-rdn-be                                        default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-rdn-be                                                  799abba1,latest,f390d478,cd31d1fb + 31 more...                 3 months ago
